ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
1,Adelaide,AAPT Championships,2004-01-05,International,Outdoor,Hard,1st Round,3,Spadea V.,Melzer J.,29.0,79.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,,,1.4,2.85,1.48,2.53,1.45,2.2,1.465,2.9
1,Adelaide,AAPT Championships,2004-01-05,International,Outdoor,Hard,1st Round,3,Dent T.,Horna L.,33.0,64.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.16,4.5,1.22,4.1,1.2,4.45,1.2,3.3,1.241,4.55
1,Adelaide,AAPT Championships,2004-01-05,International,Outdoor,Hard,1st Round,3,Martin A.,Ancic M.,54.0,74.0,6.0,3.0,6.0,7.0,7,6.0,,,,,2.0,1.0,Completed,2.0,1.72,2.15,1.67,,,2.0,1.55,2.17,1.752
1,Adelaide,AAPT Championships,2004-01-05,International,Outdoor,Hard,1st Round,3,Beck K.,Vahaly B.,66.0,75.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.83,1.83,1.7,2.1,,,,,1.73,2.21
1,Adelaide,AAPT Championships,2004-01-05,International,Outdoor,Hard,1st Round,3,Nieminen J.,Moodie W.,36.0,82.0,4.0,6.0,7.0,6.0,7,5.0,,,,,2.0,1.0,Completed,1.4,2.75,1.4,2.85,1.5,2.45,1.35,2.5,1.459,2.93
1,Adelaide,AAPT Championships,2004-01-05,International,Outdoor,Hard,1st Round,3,Johansson T.,Rochus C.,,84.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,,,1.6,2.25,1.8,1.95,1.75,1.75,1.758,2.16
1,Adelaide,AAPT Championships,2004-01-05,International,Outdoor,Hard,1st Round,3,Arthurs W.,Karlovic I.,117.0,73.0,6.0,7.0,7.0,6.0,7,5.0,,,,,2.0,1.0,Completed,1.8,1.909,1.8,1.95,1.9,1.85,1.75,1.75,1.862,2.0
1,Adelaide,AAPT Championships,2004-01-06,International,Outdoor,Hard,1st Round,3,Sanguinetti D.,Elsner D.,65.0,152.0,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.8,1.9,,,1.75,2.0,1.6,1.9,1.699,2.25
1,Adelaide,AAPT Championships,2004-01-06,International,Outdoor,Hard,1st Round,3,Lapentti N.,Labadze I.,57.0,72.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,,,1.5,2.5,1.5,2.45,1.5,2.1,1.599,2.49
1,Adelaide,AAPT Championships,2004-01-06,International,Outdoor,Hard,1st Round,3,Hrbaty D.,Benneteau J.,61.0,138.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.533,2.375,1.55,2.4,1.65,2.15,1.5,2.1,1.592,2.51
1,Adelaide,AAPT Championships,2004-01-06,International,Outdoor,Hard,1st Round,3,Clement A.,Hanescu V.,31.0,70.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.444,2.625,1.5,2.5,1.48,2.53,1.35,2.5,1.526,2.7
1,Adelaide,AAPT Championships,2004-01-06,International,Outdoor,Hard,1st Round,3,Llodra M.,Burgsmuller L.,173.0,76.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.615,2.2,1.58,2.3,1.55,2.35,1.5,2.1,1.676,2.3
1,Adelaide,AAPT Championships,2004-01-07,International,Outdoor,Hard,1st Round,3,Saulnier C.,Ginepri R.,86.0,32.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.625,1.444,2.5,1.5,2.45,1.5,2.2,1.45,2.7,1.526
1,Adelaide,AAPT Championships,2004-01-07,International,Outdoor,Hard,1st Round,3,Sluiter R.,Canas G.,59.0,272.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,3.0,1.364,2.85,1.4,3.12,1.37,2.3,1.4,3.4,1.357
1,Adelaide,AAPT Championships,2004-01-07,International,Outdoor,Hard,1st Round,3,Rusedski G.,Wawrinka S.,119.0,171.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.167,4.5,1.17,4.75,1.2,4.25,1.25,3.0,1.23,4.5
1,Adelaide,AAPT Championships,2004-01-07,International,Outdoor,Hard,1st Round,3,Reid T.,Ferreira W.,243.0,26.0,6.0,0.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2.625,1.444,2.85,1.4,2.67,1.44,2.5,1.35,2.72,1.513
1,Adelaide,AAPT Championships,2004-01-07,International,Outdoor,Hard,2nd Round,3,Llodra M.,Lapentti N.,173.0,57.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.0,1.727,1.9,1.85,2.1,1.7,1.9,1.6,2.12,1.781
1,Adelaide,AAPT Championships,2004-01-07,International,Outdoor,Hard,2nd Round,3,Johansson T.,Clement A.,,31.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.25,1.571,2.3,1.58,2.15,1.65,2.3,1.4,2.4,1.633
1,Adelaide,AAPT Championships,2004-01-07,International,Outdoor,Hard,2nd Round,3,Spadea V.,Arthurs W.,29.0,117.0,6.0,4.0,6.0,7.0,6,3.0,,,,,2.0,1.0,Completed,1.667,2.1,1.55,2.4,1.65,2.15,1.5,2.1,1.658,2.34
1,Adelaide,AAPT Championships,2004-01-07,International,Outdoor,Hard,2nd Round,3,Dent T.,Beck K.,33.0,66.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.286,3.5,1.35,3.1,1.28,3.46,1.25,3.0,1.345,3.45
1,Adelaide,AAPT Championships,2004-01-08,International,Outdoor,Hard,2nd Round,3,Nieminen J.,Sanguinetti D.,36.0,65.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.571,2.25,1.67,2.15,1.5,2.45,1.6,1.9,1.645,2.39
1,Adelaide,AAPT Championships,2004-01-08,International,Outdoor,Hard,2nd Round,3,Reid T.,Sluiter R.,243.0,59.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.1,1.667,1.9,1.85,2.0,1.75,1.9,1.6,1.952,1.901
1,Adelaide,AAPT Championships,2004-01-08,International,Outdoor,Hard,2nd Round,3,Saulnier C.,Rusedski G.,86.0,119.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.75,1.4,2.65,1.45,2.6,1.45,2.7,1.3,2.65,1.541
1,Adelaide,AAPT Championships,2004-01-08,International,Outdoor,Hard,2nd Round,3,Hrbaty D.,Martin A.,61.0,54.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.667,2.1,1.8,1.95,1.7,2.1,1.55,2.0,1.847,2.02
1,Adelaide,AAPT Championships,2004-01-09,International,Outdoor,Hard,Quarterfinals,3,Nieminen J.,Reid T.,36.0,243.0,6.0,2.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.667,2.1,1.67,2.15,1.48,2.53,1.55,2.0,1.658,2.36
1,Adelaide,AAPT Championships,2004-01-09,International,Outdoor,Hard,Quarterfinals,3,Hrbaty D.,Saulnier C.,61.0,86.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.833,1.833,1.75,2.0,1.85,1.85,1.55,2.0,1.862,2.0
1,Adelaide,AAPT Championships,2004-01-09,International,Outdoor,Hard,Quarterfinals,3,Llodra M.,Spadea V.,173.0,29.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.25,1.571,2.5,1.5,2.3,1.6,1.9,1.6,2.63,1.552
1,Adelaide,AAPT Championships,2004-01-09,International,Outdoor,Hard,Quarterfinals,3,Dent T.,Johansson T.,33.0,,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.571,2.25,1.58,2.3,1.65,2.15,1.65,1.85,1.633,2.42
1,Adelaide,AAPT Championships,2004-01-10,International,Outdoor,Hard,Semifinals,3,Hrbaty D.,Nieminen J.,61.0,36.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.1,1.667,2.15,1.67,2.1,1.7,2.2,1.45,2.25,1.709
1,Adelaide,AAPT Championships,2004-01-10,International,Outdoor,Hard,Semifinals,3,Llodra M.,Dent T.,173.0,33.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,3.0,1.333,2.85,1.4,2.71,1.43,2.3,1.4,3.26,1.383
1,Adelaide,AAPT Championships,2004-01-11,International,Outdoor,Hard,The Final,3,Hrbaty D.,Llodra M.,61.0,173.0,6.0,4.0,6.0,0.0,,,,,,,2.0,0.0,Completed,1.727,2.0,1.67,2.15,1.65,2.15,1.7,1.8,1.725,2.2
2,Chennai,TATA Open,2004-01-05,International,Outdoor,Hard,1st Round,3,Ferrer D.,Verdasco F.,71.0,109.0,1.0,6.0,7.0,5.0,6,0.0,,,,,2.0,1.0,Completed,1.727,2.0,1.75,2.0,1.75,2.0,1.55,2.0,1.885,1.971
2,Chennai,TATA Open,2004-01-05,International,Outdoor,Hard,1st Round,3,Levy H.,Portas A.,111.0,85.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.55,2.4,1.65,2.15,1.6,1.9,1.641,2.36
