ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
1,Adelaide,Next Generation Hardcourts,2005-01-03,International,Outdoor,Hard,1st Round,3,Saulnier C.,Baccanello P.,53,324.0,,,6.0,2.0,7,6,,,,,,,2.0,0.0,Completed,1.286,3.25,1.25,3.7,1.3,3.35,1.3,2.7,1.305,3.78
1,Adelaide,Next Generation Hardcourts,2005-01-03,International,Outdoor,Hard,1st Round,3,Enqvist T.,Sluiter R.,72,82.0,,,6.0,3.0,6,1,,,,,,,2.0,0.0,Completed,1.833,1.833,1.85,1.9,1.8,1.95,1.75,1.75,1.99,1.84
1,Adelaide,Next Generation Hardcourts,2005-01-03,International,Outdoor,Hard,1st Round,3,Melzer J.,Berdych T.,39,45.0,,,6.0,4.0,4,6,7,6,,,,,2.0,1.0,Completed,1.8,1.909,1.75,2.0,1.9,1.85,1.85,1.65,1.901,1.917
1,Adelaide,Next Generation Hardcourts,2005-01-03,International,Outdoor,Hard,1st Round,3,Rochus O.,Dupuis A.,66,79.0,,,6.0,3.0,3,6,6,1,,,,,2.0,1.0,Completed,1.667,2.1,1.58,2.3,1.6,2.25,1.55,2.0,1.621,2.41
1,Adelaide,Next Generation Hardcourts,2005-01-03,International,Outdoor,Hard,1st Round,3,Mayer F.,Arthurs W.,35,101.0,,,6.0,4.0,3,6,7,5,,,,,2.0,1.0,Completed,1.615,2.2,1.75,2.0,1.8,1.95,1.55,2.0,1.787,2.07
1,Adelaide,Next Generation Hardcourts,2005-01-03,International,Outdoor,Hard,1st Round,3,Kiefer N.,Schalken S.,21,57.0,,,6.0,2.0,2,1,,,,,,,1.0,0.0,Retired,1.333,3.0,1.36,3.0,1.48,2.53,1.4,2.3,1.408,3.1
1,Adelaide,Next Generation Hardcourts,2005-01-04,International,Outdoor,Hard,1st Round,3,Malisse X.,Martin A.,48,68.0,,,6.0,2.0,7,6,,,,,,,2.0,0.0,Completed,1.5,2.5,1.57,2.35,1.45,2.6,1.45,2.2,1.575,2.54
1,Adelaide,Next Generation Hardcourts,2005-01-04,International,Outdoor,Hard,1st Round,3,Benneteau J.,Starace P.,65,76.0,,,6.0,3.0,6,4,,,,,,,2.0,0.0,Completed,1.533,2.375,1.48,2.6,1.6,2.25,1.6,1.9,1.549,2.62
1,Adelaide,Next Generation Hardcourts,2005-01-04,International,Outdoor,Hard,1st Round,3,Stepanek R.,Kohlschreiber P.,33,88.0,,,6.0,3.0,6,4,,,,,,,2.0,0.0,Completed,1.4,2.75,1.4,2.85,1.4,2.85,1.35,2.5,1.435,3.0
1,Adelaide,Next Generation Hardcourts,2005-01-04,International,Outdoor,Hard,1st Round,3,Dent T.,Ginepri R.,32,63.0,,,6.0,1.0,2,6,6,2,,,,,2.0,1.0,Completed,1.667,2.1,1.7,2.1,1.75,2.0,1.6,1.9,1.719,2.19
1,Adelaide,Next Generation Hardcourts,2005-01-04,International,Outdoor,Hard,1st Round,3,Johansson J.,Kimmich M.,11,309.0,,,6.0,2.0,6,4,,,,,,,2.0,0.0,Completed,1.06,7.5,,,1.04,9.25,1.05,5.0,1.069,11.75
1,Adelaide,Next Generation Hardcourts,2005-01-04,International,Outdoor,Hard,1st Round,3,Calleri A.,Nieminen J.,58,77.0,,,6.0,4.0,3,6,7,6,,,,,2.0,1.0,Completed,1.909,1.8,1.88,1.88,1.95,1.8,1.8,1.7,1.943,1.877
1,Adelaide,Next Generation Hardcourts,2005-01-04,International,Outdoor,Hard,1st Round,3,Lisnard J.R.,de Chaunac S.,132,220.0,,,6.0,4.0,7,6,,,,,,,2.0,0.0,Completed,1.533,2.375,1.6,2.25,1.7,2.1,1.5,2.1,1.685,2.26
1,Adelaide,Next Generation Hardcourts,2005-01-04,International,Outdoor,Hard,1st Round,3,Chela J.I.,Sargsian S.,26,75.0,,,6.0,1.0,6,1,,,,,,,2.0,0.0,Completed,1.615,2.2,1.56,2.35,1.55,2.35,1.5,2.1,1.625,2.4
1,Adelaide,Next Generation Hardcourts,2005-01-04,International,Outdoor,Hard,1st Round,3,Hewitt L.,Clement A.,3,106.0,,,2.0,6.0,6,1,6,1,,,,,2.0,1.0,Completed,1.143,5.0,1.07,7.25,1.13,5.5,1.15,3.8,1.111,7.8
1,Adelaide,Next Generation Hardcourts,2005-01-04,International,Outdoor,Hard,1st Round,3,Delic A.,Reid T.,173,126.0,,,3.0,6.0,7,5,6,2,,,,,2.0,1.0,Completed,1.833,1.833,1.88,1.88,2.0,1.75,1.75,1.75,1.901,1.917
1,Adelaide,Next Generation Hardcourts,2005-01-05,International,Outdoor,Hard,2nd Round,3,Enqvist T.,Mayer F.,72,35.0,,,6.0,3.0,6,3,,,,,,,2.0,0.0,Completed,1.83,1.83,1.77,2.0,1.67,2.12,1.75,1.75,1.84,1.99
1,Adelaide,Next Generation Hardcourts,2005-01-05,International,Outdoor,Hard,2nd Round,3,Kiefer N.,Saulnier C.,21,53.0,,,6.0,4.0,6,3,,,,,,,2.0,0.0,Completed,1.53,2.37,1.55,2.4,1.45,2.6,1.35,2.5,1.585,2.51
1,Adelaide,Next Generation Hardcourts,2005-01-05,International,Outdoor,Hard,2nd Round,3,Rochus O.,Stepanek R.,66,33.0,,,6.0,0.0,6,3,,,,,,,2.0,0.0,Completed,2.25,1.571,2.3,1.6,2.15,1.65,2.0,1.55,2.36,1.641
1,Adelaide,Next Generation Hardcourts,2005-01-05,International,Outdoor,Hard,2nd Round,3,Johansson J.,Malisse X.,11,48.0,,,6.0,7.0,6,3,7,6,,,,,2.0,1.0,Completed,1.3,3.39,1.3,3.4,1.26,3.59,1.3,2.7,1.339,3.55
1,Adelaide,Next Generation Hardcourts,2005-01-06,International,Outdoor,Hard,2nd Round,3,Melzer J.,Delic A.,39,173.0,,,6.0,3.0,6,3,,,,,,,2.0,0.0,Completed,1.33,3.25,1.37,3.0,1.37,2.92,1.35,2.5,1.418,3.09
1,Adelaide,Next Generation Hardcourts,2005-01-06,International,Outdoor,Hard,2nd Round,3,Chela J.I.,Lisnard J.R.,26,132.0,,,7.0,5.0,7,5,,,,,,,2.0,0.0,Completed,1.22,4.0,1.2,4.2,1.28,3.46,1.3,2.7,1.273,4.11
1,Adelaide,Next Generation Hardcourts,2005-01-06,International,Outdoor,Hard,2nd Round,3,Hewitt L.,Calleri A.,3,58.0,,,6.0,1.0,6,4,,,,,,,2.0,0.0,Completed,1.1,6.5,1.11,6.0,1.17,4.67,1.1,4.5,1.143,6.3
1,Adelaide,Next Generation Hardcourts,2005-01-06,International,Outdoor,Hard,2nd Round,3,Dent T.,Benneteau J.,32,65.0,,,4.0,6.0,6,1,6,2,,,,,2.0,1.0,Completed,1.44,2.62,1.6,2.3,1.48,2.53,1.35,2.5,1.629,2.39
1,Adelaide,Next Generation Hardcourts,2005-01-07,International,Outdoor,Hard,Quarterfinals,3,Rochus O.,Kiefer N.,66,21.0,,,6.0,7.0,7,6,7,5,,,,,2.0,1.0,Completed,2.75,1.39,2.85,1.4,2.92,1.37,2.5,1.35,3.26,1.376
1,Adelaide,Next Generation Hardcourts,2005-01-07,International,Outdoor,Hard,Quarterfinals,3,Johansson J.,Enqvist T.,11,72.0,,,6.0,3.0,4,6,6,1,,,,,2.0,1.0,Completed,1.33,3.25,1.33,3.2,1.36,2.97,1.35,2.5,1.435,3.0
1,Adelaide,Next Generation Hardcourts,2005-01-07,International,Outdoor,Hard,Quarterfinals,3,Chela J.I.,Melzer J.,26,39.0,,,7.0,6.0,5,7,6,2,,,,,2.0,1.0,Completed,1.9,1.8,1.88,1.88,1.9,1.85,1.9,1.6,1.82,2.02
1,Adelaide,Next Generation Hardcourts,2005-01-07,International,Outdoor,Hard,Quarterfinals,3,Dent T.,Hewitt L.,32,3.0,,,7.0,6.0,6,3,,,,,,,2.0,0.0,Completed,5.5,1.12,6.25,1.11,5.85,1.1,3.8,1.15,7.1,1.125
1,Adelaide,Next Generation Hardcourts,2005-01-08,International,Outdoor,Hard,Semifinals,3,Johansson J.,Rochus O.,11,66.0,,,6.0,1.0,7,6,,,,,,,2.0,0.0,Completed,1.3,3.39,1.22,4.0,1.22,3.98,1.3,2.9,1.274,4.1
1,Adelaide,Next Generation Hardcourts,2005-01-08,International,Outdoor,Hard,Semifinals,3,Dent T.,Chela J.I.,32,26.0,,,6.0,1.0,6,1,,,,,,,2.0,0.0,Completed,1.57,2.25,1.6,2.3,1.6,2.3,1.5,2.2,1.671,2.29
1,Adelaide,Next Generation Hardcourts,2005-01-09,International,Outdoor,Hard,The Final,3,Johansson J.,Dent T.,11,32.0,,,7.0,5.0,6,3,,,,,,,2.0,0.0,Completed,1.66,2.1,1.67,2.15,1.65,2.15,1.7,1.9,1.714,2.2
2,Chennai,TATA Open,2005-01-03,International,Outdoor,Hard,1st Round,3,Patience O.,Schuettler R.,119,42.0,,,6.0,2.0,6,2,,,,,,,2.0,0.0,Completed,3.25,1.286,3.1,1.33,3.1,1.35,3.0,1.25,3.4,1.357
2,Chennai,TATA Open,2005-01-03,International,Outdoor,Hard,1st Round,3,Gimelstob J.,Gambill J.M.,162,95.0,,,6.0,3.0,6,4,,,,,,,2.0,0.0,Completed,2.1,1.667,2.3,1.57,2.1,1.7,2.1,1.5,2.26,1.685
2,Chennai,TATA Open,2005-01-03,International,Outdoor,Hard,1st Round,3,Mathieu P.H.,Tipsarevic J.,123,117.0,,,6.0,3.0,6,4,,,,,,,2.0,0.0,Completed,1.533,2.375,1.65,2.15,1.53,2.4,1.45,2.2,1.629,2.39
2,Chennai,TATA Open,2005-01-03,International,Outdoor,Hard,1st Round,3,Vliegen K.,Ventura S.,116,104.0,,,7.0,6.0,5,7,6,4,,,,,2.0,1.0,Completed,1.364,2.875,1.33,3.1,1.32,3.22,1.4,2.3,1.37,3.3
2,Chennai,TATA Open,2005-01-03,International,Outdoor,Hard,1st Round,3,Tabara M.,Vanek J.,98,115.0,,,6.0,2.0,4,6,7,6,,,,,2.0,1.0,Completed,1.533,2.375,1.55,2.35,1.6,2.25,1.55,2.0,1.503,2.76
2,Chennai,TATA Open,2005-01-03,International,Outdoor,Hard,1st Round,3,Heuberger I.,Amritraj P.,124,340.0,,,6.0,4.0,6,4,,,,,,,2.0,0.0,Completed,1.444,2.625,,,1.4,2.85,1.45,2.2,1.417,3.05
2,Chennai,TATA Open,2005-01-03,International,Outdoor,Hard,1st Round,3,Garcia A.,Carraz G.,118,90.0,,,6.0,4.0,6,3,,,,,,,2.0,0.0,Completed,2.87,1.36,2.45,1.5,2.6,1.45,2.7,1.3,2.82,1.476
2,Chennai,TATA Open,2005-01-03,International,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,van Scheppingen D.,129,112.0,,,3.0,6.0,6,3,6,2,,,,,2.0,1.0,Completed,2.0,1.727,1.93,1.8,1.95,1.8,1.85,1.65,2.01,1.826
2,Chennai,TATA Open,2005-01-03,International,Outdoor,Hard,1st Round,3,Lu Y.H.,Paes L.,87,,,,6.0,2.0,7,6,,,,,,,2.0,0.0,Completed,1.3,3.2,,,1.25,3.75,1.3,2.7,,
2,Chennai,TATA Open,2005-01-04,International,Outdoor,Hard,1st Round,3,Kim K.,Mankad H.,94,360.0,,,6.0,4.0,4,6,6,4,,,,,2.0,1.0,Completed,1.4,2.75,,,,,,,1.391,3.21
2,Chennai,TATA Open,2005-01-04,International,Outdoor,Hard,1st Round,3,Zib T.,Burgsmuller L.,121,100.0,,,6.0,1.0,6,4,,,,,,,2.0,0.0,Completed,2.0,1.727,2.0,1.75,1.83,1.91,1.9,1.6,2.1,1.769
2,Chennai,TATA Open,2005-01-04,International,Outdoor,Hard,1st Round,3,Bjorkman J.,Rastogi K.,70,1005.0,,,6.0,4.0,6,0,,,,,,,2.0,0.0,Completed,1.063,7.5,,,,,1.05,5.0,1.091,9.0
2,Chennai,TATA Open,2005-01-04,International,Outdoor,Hard,1st Round,3,Devilder N.,Baghdatis M.,198,159.0,,,6.0,4.0,6,7,7,6,,,,,2.0,1.0,Completed,3.25,1.286,3.45,1.28,3.75,1.25,2.7,1.3,3.75,1.308
2,Chennai,TATA Open,2005-01-04,International,Outdoor,Hard,1st Round,3,Carlsen K.,Okun N.,84,141.0,,,7.0,6.0,6,4,,,,,,,2.0,0.0,Completed,1.533,2.375,1.57,2.3,1.6,2.25,1.5,2.1,1.629,2.39
2,Chennai,TATA Open,2005-01-04,International,Outdoor,Hard,1st Round,3,Moya C.,Knowle J.,5,257.0,,,6.0,4.0,7,6,,,,,,,2.0,0.0,Completed,1.1,6.5,1.08,7.0,1.05,8.5,1.1,4.5,1.092,9.07
2,Chennai,TATA Open,2005-01-04,International,Outdoor,Hard,1st Round,3,Srichaphan P.,Rochus C.,27,113.0,,,4.0,6.0,7,6,6,1,,,,,2.0,1.0,Completed,1.14,5.0,1.15,5.0,1.15,5.2,1.2,3.3,1.196,5.09
2,Chennai,TATA Open,2005-01-05,International,Outdoor,Hard,2nd Round,3,Tabara M.,Patience O.,98,119.0,,,7.0,6.0,6,4,,,,,,,2.0,0.0,Completed,1.66,2.1,1.65,2.15,1.7,2.1,1.6,1.9,1.735,2.16
2,Chennai,TATA Open,2005-01-05,International,Outdoor,Hard,2nd Round,3,Zib T.,Kim K.,121,94.0,,,6.0,3.0,7,5,,,,,,,2.0,0.0,Completed,1.53,2.37,1.48,2.55,1.53,2.4,1.55,2.0,1.595,2.48
2,Chennai,TATA Open,2005-01-05,International,Outdoor,Hard,2nd Round,3,Gimelstob J.,Bjorkman J.,162,70.0,,,6.0,0.0,4,6,6,3,,,,,2.0,1.0,Completed,2.1,1.66,2.25,1.6,2.1,1.7,2.0,1.55,2.49,1.592
2,Chennai,TATA Open,2005-01-05,International,Outdoor,Hard,2nd Round,3,Garcia-Lopez G.,Garcia A.,129,118.0,,,6.0,3.0,6,3,,,,,,,2.0,0.0,Completed,1.8,1.9,1.87,1.87,1.95,1.8,1.75,1.75,1.847,1.98
2,Chennai,TATA Open,2005-01-06,International,Outdoor,Hard,2nd Round,3,Moya C.,Heuberger I.,5,124.0,,,,,,,,,,,,,,,Walkover,1.1,6.5,,,,,,,,
2,Chennai,TATA Open,2005-01-06,International,Outdoor,Hard,2nd Round,3,Vliegen K.,Lu Y.H.,116,87.0,,,1.0,6.0,7,5,7,6,,,,,2.0,1.0,Completed,1.66,2.1,1.77,2.0,1.65,2.15,1.55,2.0,1.763,2.11
2,Chennai,TATA Open,2005-01-06,International,Outdoor,Hard,2nd Round,3,Mathieu P.H.,Carlsen K.,123,84.0,,,6.0,3.0,7,5,,,,,,,2.0,0.0,Completed,1.53,2.37,1.53,2.4,1.55,2.35,1.6,1.9,1.565,2.57
2,Chennai,TATA Open,2005-01-06,International,Outdoor,Hard,2nd Round,3,Srichaphan P.,Devilder N.,27,198.0,,,6.0,3.0,6,2,,,,,,,2.0,0.0,Completed,1.12,5.5,1.11,6.0,1.15,5.2,1.2,3.3,1.141,6.41
2,Chennai,TATA Open,2005-01-07,International,Outdoor,Hard,Quarterfinals,3,Srichaphan P.,Vliegen K.,27,116.0,,,6.0,3.0,6,4,,,,,,,2.0,0.0,Completed,1.19,4.33,1.16,4.85,,,1.2,3.3,1.201,5.08
2,Chennai,TATA Open,2005-01-07,International,Outdoor,Hard,Quarterfinals,3,Garcia-Lopez G.,Tabara M.,129,98.0,,,6.0,4.0,6,4,,,,,,,2.0,0.0,Completed,2.37,1.53,2.45,1.5,2.3,1.6,1.9,1.6,2.72,1.521
2,Chennai,TATA Open,2005-01-07,International,Outdoor,Hard,Quarterfinals,3,Moya C.,Mathieu P.H.,5,123.0,,,6.0,4.0,6,4,,,,,,,2.0,0.0,Completed,1.36,3.0,1.35,3.0,,,1.35,2.5,1.455,2.95
2,Chennai,TATA Open,2005-01-07,International,Outdoor,Hard,Quarterfinals,3,Zib T.,Gimelstob J.,121,162.0,,,6.0,3.0,7,6,,,,,,,2.0,0.0,Completed,1.83,1.83,1.8,1.95,1.8,1.95,1.75,1.75,1.806,2.04
2,Chennai,TATA Open,2005-01-08,International,Outdoor,Hard,Semifinals,3,Srichaphan P.,Zib T.,27,121.0,,,7.0,6.0,6,3,,,,,,,2.0,0.0,Completed,1.19,4.33,1.16,4.8,1.22,3.98,1.25,3.2,1.235,4.6
2,Chennai,TATA Open,2005-01-08,International,Outdoor,Hard,Semifinals,3,Moya C.,Garcia-Lopez G.,5,129.0,,,6.0,4.0,2,6,7,6,,,,,2.0,1.0,Completed,1.08,7.0,1.06,7.75,1.1,6.25,1.1,5.0,1.118,7.5
2,Chennai,TATA Open,2005-01-09,International,Outdoor,Hard,The Final,3,Moya C.,Srichaphan P.,5,27.0,,,3.0,6.0,6,4,7,6,,,,,2.0,1.0,Completed,1.53,2.37,1.65,2.2,1.65,2.15,1.55,2.1,1.595,2.48
3,Doha,Qatar Exxon Mobil Open,2005-01-03,International,Outdoor,Hard,1st Round,3,Ljubicic I.,Wawrinka S.,22,168.0,,,6.0,3.0,6,4,,,,,,,2.0,0.0,Completed,,,1.28,3.45,1.25,3.75,1.3,2.7,1.269,4.17
3,Doha,Qatar Exxon Mobil Open,2005-01-03,International,Outdoor,Hard,1st Round,3,Lee H.T.,Stakhovsky S.,59,335.0,,,6.0,0.0,6,2,,,,,,,2.0,0.0,Completed,,,,,,,1.4,2.3,,
3,Doha,Qatar Exxon Mobil Open,2005-01-03,International,Outdoor,Hard,1st Round,3,Lopez F.,Volandri F.,25,43.0,,,7.0,5.0,6,3,,,,,,,2.0,0.0,Completed,1.286,3.25,1.28,3.45,1.25,3.75,1.25,3.0,1.308,3.75
