ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
1,Brisbane,Brisbane International,2009-01-04,ATP250,Outdoor,Hard,1st Round,3,Gasquet R.,Gicquel M.,23,50.0,2320,1428.0,4.0,6.0,6.0,2.0,6.0,2.0,,,,,2.0,1.0,Completed,1.25,3.75,1.27,3.81,1.28,3.5,1.25,3.5,1.27,3.6
1,Brisbane,Brisbane International,2009-01-04,ATP250,Outdoor,Hard,1st Round,3,Dent T.,Darcis S.,865,59.0,28,1362.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.75,1.4,,,,,,,3.0,1.37
1,Brisbane,Brisbane International,2009-01-04,ATP250,Outdoor,Hard,1st Round,3,Benneteau J.,Ginepri R.,40,49.0,1608,1480.0,3.0,6.0,6.0,3.0,7.0,5.0,,,,,2.0,1.0,Completed,2.1,1.66,2.25,1.65,2.1,1.66,2.1,1.727,1.96,1.8
1,Brisbane,Brisbane International,2009-01-04,ATP250,Outdoor,Hard,1st Round,3,Soderling R.,Querrey S.,17,36.0,2650,1740.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.49,2.65,1.53,2.37,1.5,2.625,1.4,2.85
1,Brisbane,Brisbane International,2009-01-05,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Baghdatis M.,41,96.0,1600,950.0,5.0,7.0,6.0,1.0,6.0,4.0,,,,,2.0,1.0,Completed,2.0,1.72,1.95,1.85,1.83,1.83,2.0,1.8,1.88,1.88
1,Brisbane,Brisbane International,2009-01-05,ATP250,Outdoor,Hard,1st Round,3,Stepanek R.,Kunitsyn I.,26,45.0,2260,1562.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.36,3.17,1.4,2.75,1.4,2.875,1.37,3.0
1,Brisbane,Brisbane International,2009-01-05,ATP250,Outdoor,Hard,1st Round,3,Melzer J.,Fish M.,32,22.0,1878,2330.0,6.0,4.0,4.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,2.2,1.61,2.2,1.65,2.2,1.61,2.25,1.615,2.15,1.67
1,Brisbane,Brisbane International,2009-01-05,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Tomic B.,15,764.0,2830,42.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.06,8.0,1.06,9.52,1.04,9.0,1.03,11.0,1.04,11.0
1,Brisbane,Brisbane International,2009-01-06,ATP250,Outdoor,Hard,1st Round,3,Berdych T.,Klein B.,20,248.0,2430,304.0,6.0,0.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.03,11.0,1.05,10.5,1.05,8.5,1.04,10.0,1.03,12.0
1,Brisbane,Brisbane International,2009-01-06,ATP250,Outdoor,Hard,1st Round,3,Serra F.,Ferrero J.C.,60,52.0,1324,1410.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.75,1.4,2.55,1.5,2.5,1.5,2.5,1.533,2.67,1.45
1,Brisbane,Brisbane International,2009-01-06,ATP250,Outdoor,Hard,1st Round,3,Ancic M.,Delic A.,35,131.0,1800,716.0,7.0,6.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.28,3.5,1.29,3.66,1.28,3.5,1.286,3.5,1.3,3.4
1,Brisbane,Brisbane International,2009-01-06,ATP250,Outdoor,Hard,1st Round,3,Gulbis E.,Djokovic N.,53,3.0,1408,10590.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,4.5,1.16,3.95,1.25,3.75,1.25,4.0,1.222,4.35,1.2
1,Brisbane,Brisbane International,2009-01-06,ATP250,Outdoor,Hard,1st Round,3,Mathieu P.H.,Gabashvili T.,31,65.0,2000,1226.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.45,2.7,1.4,2.75,1.4,2.75,1.45,2.67
1,Brisbane,Brisbane International,2009-01-06,ATP250,Outdoor,Hard,1st Round,3,Nishikori K.,Reynolds B.,61,68.0,1280,1144.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.7,2.15,1.66,2.1,1.667,2.2,1.69,2.12
1,Brisbane,Brisbane International,2009-01-06,ATP250,Outdoor,Hard,1st Round,3,Llodra M.,Sirianni J.,54,263.0,1400,282.0,5.0,7.0,7.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.5,2.5,1.5,2.55,1.5,2.5,1.5,2.625,1.52,2.45
1,Brisbane,Brisbane International,2009-01-06,ATP250,Outdoor,Hard,1st Round,3,Tsonga J.W.,Calleri A.,7,62.0,3950,1250.0,6.0,2.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.08,7.0,1.15,5.6,1.14,5.0,1.125,6.0,1.14,5.4
