WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
1,Auckland,ASB Classic,2010-01-03,International,Outdoor,Hard,1st Round,3,Wickmayer Y.,Goerges J.,16.0,77.0,2385.0,818.0,6.0,3.0,7.0,5.0,,,2.0,0.0,Completed,1.22,4.0,1.2,4.25,1.167,4.5,1.261,4.41,1.2,4.0,,,,
1,Auckland,ASB Classic,2010-01-04,International,Outdoor,Hard,1st Round,3,Pennetta F.,Craybas J.,12.0,76.0,3150.0,829.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.1,6.5,1.14,5.2,1.143,5.0,1.137,7.14,1.154,4.75,,,,
1,Auckland,ASB Classic,2010-01-04,International,Outdoor,Hard,1st Round,3,Cibulkova D.,Dulgheru A.,28.0,52.0,1875.0,1228.0,6.0,0.0,6.0,3.0,,,2.0,0.0,Completed,1.28,3.5,1.28,3.46,1.333,3.25,1.341,3.65,1.286,3.25,,,,
1,Auckland,ASB Classic,2010-01-04,International,Outdoor,Hard,1st Round,3,Date Krumm K.,Chakvetadze A.,69.0,67.0,915.0,924.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,2.1,1.66,2.2,1.65,2.2,1.615,2.2,1.769,2.25,1.571,,,,
1,Auckland,ASB Classic,2010-01-04,International,Outdoor,Hard,1st Round,3,Rybarikova M.,Medina Garrigues A.,44.0,27.0,1425.0,1910.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.83,1.83,1.95,1.8,2.0,1.727,1.926,2.0,1.909,1.8,,,,
1,Auckland,ASB Classic,2010-01-04,International,Outdoor,Hard,1st Round,3,Rezai A.,Coin J.,25.0,74.0,1985.0,869.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.25,3.75,1.23,3.89,1.286,3.5,1.308,3.92,1.333,3.0,,,,
1,Auckland,ASB Classic,2010-01-04,International,Outdoor,Hard,1st Round,3,Peer S.,Hercog P.,30.0,68.0,1780.0,916.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,1.16,4.5,1.17,4.67,1.2,4.333,1.212,5.14,1.167,4.5,,,,
1,Auckland,ASB Classic,2010-01-04,International,Outdoor,Hard,1st Round,3,Schiavone F.,Cohen Aloro S.,17.0,122.0,2375.0,511.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.16,4.5,1.2,4.25,1.167,4.5,1.199,5.38,1.2,4.0,,,,
1,Auckland,ASB Classic,2010-01-04,International,Outdoor,Hard,1st Round,3,Suarez Navarro C.,Gallovits E.,33.0,104.0,1675.0,626.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,1.5,2.5,1.55,2.35,1.44,2.62,1.625,2.47,1.444,2.625,,,,
1,Auckland,ASB Classic,2010-01-05,International,Outdoor,Hard,1st Round,3,Cornet A.,Erakovic M.,49.0,227.0,1285.0,227.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.36,3.0,1.37,2.92,1.333,3.25,1.37,3.45,1.333,3.0,,,,
1,Auckland,ASB Classic,2010-01-05,International,Outdoor,Hard,1st Round,3,Razzano V.,Niculescu M.,19.0,103.0,2300.0,626.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,1.36,3.0,1.4,2.85,1.364,3.0,1.448,3.04,1.4,2.75,,,,
1,Auckland,ASB Classic,2010-01-05,International,Outdoor,Hard,1st Round,3,Mirza S.,Voegele,57.0,75.0,1119.0,855.0,5.0,7.0,6.0,1.0,7.0,5.0,2.0,1.0,Completed,1.4,2.75,1.45,2.65,1.444,2.625,1.513,2.79,1.444,2.625,,,,
1,Auckland,ASB Classic,2010-01-05,International,Outdoor,Hard,1st Round,3,Kanepi K.,Li N.,58.0,15.0,1101.0,2541.0,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,5.0,1.14,4.67,1.17,4.333,1.2,5.17,1.211,4.5,1.167,,,,
1,Auckland,ASB Classic,2010-01-05,International,Outdoor,Hard,1st Round,3,Olaru I.,Baltacha E.,72.0,84.0,893.0,754.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,2.1,1.66,1.99,1.77,2.1,1.667,2.26,1.73,1.909,1.8,,,,
1,Auckland,ASB Classic,2010-01-05,International,Outdoor,Hard,1st Round,3,Vesnina E.,Brianti A.,23.0,73.0,2011.0,877.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,1.25,3.75,1.25,3.75,1.286,3.5,1.298,4.02,1.286,3.25,,,,
1,Auckland,ASB Classic,2010-01-05,International,Outdoor,Hard,1st Round,3,Kirilenko M.,Malek T.,62.0,71.0,1085.0,901.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.36,3.0,1.35,3.1,1.4,2.75,1.417,3.19,1.444,2.625,,,,
1,Auckland,ASB Classic,2010-01-05,International,Outdoor,Hard,2nd Round,3,Peer S.,Rybarikova M.,30.0,44.0,1780.0,1425.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,1.61,2.2,1.65,2.15,1.615,2.2,1.781,2.18,1.533,2.375,,,,
1,Auckland,ASB Classic,2010-01-05,International,Outdoor,Hard,2nd Round,3,Pennetta F.,Suarez Navarro C.,12.0,33.0,3150.0,1675.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.16,4.5,1.2,4.25,1.22,4.0,1.26,4.43,1.222,3.75,,,,
1,Auckland,ASB Classic,2010-01-05,International,Outdoor,Hard,2nd Round,3,Wickmayer Y.,Olaru I.,16.0,72.0,2385.0,893.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.16,4.5,1.17,4.67,1.2,4.33,1.215,5.09,1.2,4.0,,,,
1,Auckland,ASB Classic,2010-01-06,International,Outdoor,Hard,2nd Round,3,Schiavone F.,Mirza S.,17.0,57.0,2375.0,1119.0,6.0,0.0,6.0,3.0,,,2.0,0.0,Completed,1.3,3.4,1.32,3.22,1.286,3.5,1.309,3.91,1.364,2.875,,,,
1,Auckland,ASB Classic,2010-01-06,International,Outdoor,Hard,2nd Round,3,Kirilenko M.,Kanepi K.,62.0,58.0,1085.0,1101.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.57,2.25,,,1.615,2.2,1.714,2.29,1.615,2.2,,,,
1,Auckland,ASB Classic,2010-01-06,International,Outdoor,Hard,2nd Round,3,Cornet A.,Vesnina E.,49.0,23.0,1285.0,2011.0,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,2.25,1.57,2.2,1.65,2.0,1.727,2.5,1.613,2.0,1.727,,,,
1,Auckland,ASB Classic,2010-01-06,International,Outdoor,Hard,2nd Round,3,Cibulkova D.,Rezai A.,28.0,25.0,1875.0,1985.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.72,2.0,1.7,2.05,1.727,2.0,1.885,2.04,1.615,2.2,,,,
1,Auckland,ASB Classic,2010-01-06,International,Outdoor,Hard,2nd Round,3,Date Krumm K.,Razzano V.,69.0,19.0,915.0,2300.0,3.0,6.0,6.0,3.0,6.0,2.0,2.0,1.0,Completed,2.37,1.53,2.35,1.55,2.375,1.533,2.39,1.662,2.5,1.5,,,,
1,Auckland,ASB Classic,2010-01-06,International,Outdoor,Hard,Quarterfinals,3,Peer S.,Kirilenko M.,30.0,62.0,1780.0,1085.0,6.0,0.0,3.0,6.0,6.0,1.0,2.0,1.0,Completed,1.57,2.25,1.6,2.25,1.571,2.25,1.725,2.27,1.533,2.375,,,,
1,Auckland,ASB Classic,2010-01-07,International,Outdoor,Hard,Quarterfinals,3,Wickmayer Y.,Date Krumm K.,16.0,69.0,2385.0,915.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.22,4.0,1.25,3.7,1.25,3.75,1.278,4.22,1.25,3.5,,,,
