WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Auckland,ASB Classic,2017-12-31,International,Outdoor,Hard,1st Round,3,Hsieh S.W.,Hibino N.,103.0,97.0,625.0,693.0,6.0,0.0,6.0,3.0,,,2.0,0.0,Completed,1.9,1.8,1.9,1.8,1.91,1.91,1.96,1.93,2.0,1.93,1.92,1.86
1,Auckland,ASB Classic,2017-12-31,International,Outdoor,Hard,1st Round,3,Martic P.,Vondrousova M.,90.0,67.0,732.0,936.0,7.0,6.0,6.0,3.0,,,2.0,0.0,Completed,2.62,1.44,2.5,1.47,2.5,1.53,2.67,1.53,2.75,1.59,2.53,1.5
1,Auckland,ASB Classic,2018-01-01,International,Outdoor,Hard,1st Round,3,Flipkens K.,Vekic D.,76.0,54.0,808.0,1045.0,7.0,6.0,3.0,6.0,6.0,4.0,2.0,1.0,Completed,1.66,2.1,1.72,2.0,1.8,2.0,1.79,2.12,1.87,2.13,1.76,2.05
1,Auckland,ASB Classic,2018-01-01,International,Outdoor,Hard,1st Round,3,Goerges J.,Puig M.,14.0,57.0,2655.0,1025.0,6.0,4.0,4.0,6.0,6.0,2.0,2.0,1.0,Completed,1.44,2.62,1.45,2.55,1.44,2.75,1.53,2.67,1.56,2.8,1.48,2.58
1,Auckland,ASB Classic,2018-01-01,International,Outdoor,Hard,1st Round,3,Kenin S.,Fett J.,108.0,102.0,591.0,635.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,2.75,1.4,2.65,1.42,2.75,1.44,2.72,1.51,3.02,1.56,2.72,1.44
1,Auckland,ASB Classic,2018-01-01,International,Outdoor,Hard,1st Round,3,Lepchenko V.,Barthel M.,63.0,52.0,960.0,1068.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.5,2.5,1.53,2.35,1.57,2.37,1.63,2.42,1.63,2.5,1.57,2.37
1,Auckland,ASB Classic,2018-01-01,International,Outdoor,Hard,1st Round,3,Vickery S.,Davis L.,122.0,48.0,510.0,1093.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,2.1,1.66,2.1,1.65,2.1,1.73,2.28,1.69,2.28,1.75,2.14,1.68
1,Auckland,ASB Classic,2018-01-02,International,Outdoor,Hard,1st Round,3,Cepede Royg V.,Arruabarrena L.,78.0,86.0,787.0,750.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,2.1,1.66,2.1,1.65,2.1,1.73,2.25,1.71,2.25,1.77,2.14,1.68
1,Auckland,ASB Classic,2018-01-02,International,Outdoor,Hard,1st Round,3,Bonaventure Y.,Putintseva Y.,183.0,50.0,312.0,1085.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.9,1.8,1.85,1.85,1.91,1.91,1.92,1.97,1.95,2.0,1.88,1.89
1,Auckland,ASB Classic,2018-01-02,International,Outdoor,Hard,1st Round,3,Strycova B.,Errani S.,23.0,132.0,2025.0,454.0,6.0,4.0,6.0,7.0,6.0,4.0,2.0,1.0,Completed,1.3,3.4,1.3,3.2,1.33,3.25,1.36,3.38,1.36,3.64,1.32,3.28
1,Auckland,ASB Classic,2018-01-02,International,Outdoor,Hard,1st Round,3,Larsson J.,Nara K.,82.0,101.0,761.0,644.0,7.0,6.0,6.0,3.0,,,2.0,0.0,Completed,1.72,2.0,1.75,1.95,1.8,2.0,1.85,2.05,1.88,2.1,1.79,1.99
1,Auckland,ASB Classic,2018-01-02,International,Outdoor,Hard,1st Round,3,Townsend T.,Mchale C.,95.0,64.0,700.0,950.0,1.0,6.0,6.0,4.0,6.0,4.0,2.0,1.0,Completed,1.9,1.8,1.95,1.75,2.0,1.73,2.0,1.89,2.07,1.89,1.96,1.81
1,Auckland,ASB Classic,2018-01-02,International,Outdoor,Hard,1st Round,3,Hercog P.,Van Uytvanck A.,100.0,77.0,653.0,797.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,2.25,1.57,2.25,1.57,2.37,1.57,2.47,1.6,2.5,1.65,2.32,1.59
